phage,host,species
MH399782,CP003184,Thermoanaerobacterales;
KM400683,NZ_CP015121.1,Pseudomonadales;
NC_028859,NZ_HF571038.1,Intrasporangiaceae;
NC_028854,NZ_RPMX01000001.1,Rhizobiales;
MG925339,CP019892,Microbacteriaceae;
JN391441,NZ_BEWM01000001.1,Rhodospirillales;
NC_028857,CP034433,Neisseriales;
NC_027331,CP027029,Bacillales;
NC_028852,NC_012917.1,Enterobacterales;
NC_028853,NC_002771.1,Mycoplasmataceae;
NC_028698,NZ_JYBE02000001.1,Streptomycetaceae;
NC_028699,NC_011071.1,Xanthomonadales;
NC_028692,NZ_AP018203.1,Leptolyngbyaceae;
NC_028693,NZ_CP007203.1,Aphanizomenonaceae;
NC_028690,NZ_CP035765.1,Sphingomonadales;
NC_028691,NC_011071.1,Xanthomonadales;
NC_028696,NZ_CP009976.1,Flavobacteriales;
NC_028697,NC_006085.1,Propionibacteriaceae;
NC_028695,LC361338,Micrococcaceae;
NC_019410,NZ_AP018203.1,Leptolyngbyaceae;
NC_019411,LC361338,Micrococcaceae;
NC_019416,NZ_CP016990.1,Aeromonadales;
NC_026598,NC_006461.1,Thermales;
NC_026597,NZ_QKZO01000001.1,Rhodobacterales;
NC_026596,NC_005363.1,Bdellovibrionales;
NC_026595,NZ_PKKP01000001.1,Actinomycetaceae;
MK112537,NC_008095.1,Myxococcales;
NC_026593,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_026591,CP001751,SAR116
NC_026590,CP003184,Thermoanaerobacterales;
MK016498,LR134359,Campylobacterales;
MG670586,NZ_CP018296.1,Chlamydiaceae;
MK016494,NZ_CP027793.1,Nocardiaceae;
MK016495,NC_008095.1,Myxococcales;
MK016496,NC_006461.1,Thermales;
MK016497,NZ_CP019870.1,Clostridiales;
MK016490,CP003184,Thermoanaerobacterales;
MK016491,NZ_CP047242.1,Nostocaceae;
MK016493,NZ_PKKP01000001.1,Actinomycetaceae;
MK450432,NC_003228.3,Bacteroidales;
MK450433,NC_008095.1,Myxococcales;
NC_021310,NC_011071.1,Xanthomonadales;
NC_021311,NC_006461.1,Thermales;
MH399773,NZ_JMSZ01000016,Oceanospirillales;
KM408320,NZ_CP007203.1,Aphanizomenonaceae;
NC_019528,NC_017287.1,Chlamydiaceae;
NC_019917,NZ_LN831039.1,Mycobacteriaceae;
MH669017,NZ_JNIU01000001,Pelagibacterales;
MH669016,NC_011852.1,Pasteurellales;
MH669014,CP034433,Neisseriales;
MH669012,NZ_CP035765.1,Sphingomonadales;
MH669011,NC_005042.1,Prochloraceae;
MH669010,NZ_KZ846072.1,Lactobacillales;
JF704113,NZ_CP008880.1,Flavobacteriales;
JF704112,CP001751,SAR116
JF704111,NZ_LR131273.1,Tsukamurellaceae;
JF704110,NZ_HF571038.1,Intrasporangiaceae;
JF704117,NZ_CP013187.1,Alteromonadales;
JF704116,NZ_CP013197.1,Entomoplasmatales;
JF704115,NC_008095.1,Myxococcales;
JF704114,SDYW01000001,Bacteria
GU247134,NZ_LN831027.1,Fusobacteriaceae;
NC_020843,NZ_JH719383.1,Rhizobiales;
MF140398,NZ_CP009610.1,Pasteurellales;
NC_020849,NZ_RPMX01000001.1,Rhizobiales;
MF140399,NZ_LT629739,Brevibacteriaceae;
GU247133,NZ_RQHA01000004.1,Leptospiraceae;
KJ194580,NC_015276.1,Oceanospirillales;
NC_004348,NZ_RQHA01000004.1,Leptospiraceae;
KJ194583,NC_012490.1,Nocardiaceae;
KJ194584,NZ_CP035765.1,Sphingomonadales;
NC_023500,NC_005042.1,Prochloraceae;
MH834608,NC_004556.1,Xanthomonadales;
MH834609,NZ_LT629739,Brevibacteriaceae;
NC_008799,CP001751,SAR116
MH834607,NC_008095.1,Myxococcales;
MH834604,NC_004556.1,Xanthomonadales;
MH834605,NZ_CM000747.1,Bacillales;
MH834600,NZ_CP047242.1,Nostocaceae;
KX670813,NZ_AP018203.1,Leptolyngbyaceae;
NC_019526,CP034433,Neisseriales;
MF668269,NC_009952.1,Rhodobacterales;
MF668268,NZ_LT629758,Micromonosporaceae;
MF668267,NZ_RQHA01000004.1,Leptospiraceae;
MF668266,CP001751,SAR116
NC_011344,NZ_LN831027.1,Fusobacteriaceae;
KT372003,NZ_AMGI01000001.1,Entomoplasmatales;
KT372002,NZ_CP046058.1,Chroococcales;
NC_002666,NZ_SPGG01000010.1,Bacteroidales;
KU234099,NC_009952.1,Rhodobacterales;
NC_019527,NVUC01000001,Rhodobacterales;
JF937092,NZ_AP018203.1,Leptolyngbyaceae;
MG812494,NZ_JYBE02000001.1,Streptomycetaceae;
MG812495,NC_014159.1,Tsukamurellaceae;
MG812491,RXKE01000007,Gordoniaceae;
MG812492,NC_017287.1,Chlamydiaceae;
MG812493,NZ_CM002803,Oscillatoriales;
JF937093,NZ_CP058243.1,Xanthomonadales;
MH001460,NZ_CP010341.1,Propionibacteriaceae;
JN204348,NC_005363.1,Bdellovibrionales;
NC_028812,NC_006461.1,Thermales;
KT365402,NZ_BEWM01000001.1,Rhodospirillales;
MH479919,NZ_ATTH01000001,Order
MH479918,NZ_CP050956.1,Bacteroidales;
KT365399,NZ_QTTZ01000001,Microbacteriaceae;
KT365398,NZ_CP007203.1,Aphanizomenonaceae;
NC_021861,HG530068,Pseudomonadales;
MH479911,NZ_KB890221.1,Rhizobiales;
MH479914,NC_005363.1,Bdellovibrionales;
MH479916,NC_015601.1,Erysipelotrichales;
NC_029000,NC_006085.1,Propionibacteriaceae;
NC_020197,CP003184,Thermoanaerobacterales;
NC_011019,NZ_CP046058.1,Chroococcales;
NC_024355,NZ_ATTH01000001,Order
KX683423,NC_012490.1,Nocardiaceae;
KX683428,NZ_CP007203.1,Aphanizomenonaceae;
NC_020204,CP034433,Neisseriales;
JF937091,NZ_CP046058.1,Chroococcales;
NC_005294,NC_003228.3,Bacteroidales;
KT599441,NZ_JMSZ01000016,Oceanospirillales;
NC_019523,NZ_CP023558.1,Alteromonadales;
MK392367,NZ_SGOE01000001.1,Rhizobiales;
KT281793,NC_012490.1,Nocardiaceae;
NC_022767,NC_017287.1,Chlamydiaceae;
NC_029066,LC361338,Micrococcaceae;
NC_029067,NZ_LOQW01000006.1,Corynebacteriaceae;
MH825697,NC_006461.1,Thermales;
NC_029119,CP034433,Neisseriales;
NC_029060,NZ_OCQN01000001,Streptomycetaceae;
NC_029061,NZ_AP014524.1,Vibrionales;
MH825699,NZ_LR131273.1,Tsukamurellaceae;
MH825698,CP001751,SAR116
MG944217,NC_012490.1,Nocardiaceae;
KX831080,CP023315,Caulobacterales;
NC_024206,NZ_CP022580.1,Gordoniaceae;
NC_023552,NC_006461.1,Thermales;
MK112541,NC_017287.1,Chlamydiaceae;
MK112540,NZ_LT629758,Micromonosporaceae;
MK112543,NZ_RQHA01000004.1,Leptospiraceae;
MK112542,CP034433,Neisseriales;
KY434670,NC_021883.1,Pasteurellales;
MK112544,NZ_LT629758,Micromonosporaceae;
MK112546,NZ_CP009125.1,Enterobacterales;
MH338236,NZ_LXWL01000001.1,Lactobacillales;
MH338237,NZ_AMGI01000001.1,Entomoplasmatales;
MH338234,NZ_FNSA01000003,Tsukamurellaceae;
MH338235,NC_006461.1,Thermales;
KX636165,LC361338,Micrococcaceae;
MK279909,NZ_RQHA01000004.1,Leptospiraceae;
MK279908,NZ_CP015137.1,Enterobacterales;
KX576639,NC_021883.1,Pasteurellales;
NC_023720,NZ_CP023558.1,Alteromonadales;
MK279903,NZ_LT629758,Micromonosporaceae;
MK279902,NZ_LN831027.1,Fusobacteriaceae;
MK279901,NC_005363.1,Bdellovibrionales;
NC_023553,NC_006461.1,Thermales;
MK279907,NZ_BEWM01000001.1,Rhodospirillales;
MK279905,NZ_ORZE01000263.1,Xanthomonadales;
MK279904,NZ_CP027114.1,Gordoniaceae;
NC_024212,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_022914,CP001751,SAR116
NC_010342,NZ_AP018203.1,Leptolyngbyaceae;
NC_030904,NC_011071.1,Xanthomonadales;
JN699625,NZ_CP031055.1,Vibrionales;
NC_022774,NC_017287.1,Chlamydiaceae;
MH316570,NC_017287.1,Chlamydiaceae;
NC_022770,NZ_MRCG01000001.1,Oscillatoriales;
NC_024214,NZ_CP007203.1,Aphanizomenonaceae;
NC_004746,NZ_LN831039.1,Mycobacteriaceae;
NC_024215,SDYW01000001,Bacteria
MK279846,NC_006085.1,Propionibacteriaceae;
MK279847,NZ_CP009976.1,Flavobacteriales;
MK279845,NC_013282.2,Enterobacterales;
MK279842,NZ_LT629758,Micromonosporaceae;
MK279843,NC_005042.1,Prochloraceae;
MK279840,CP034433,Neisseriales;
NC_004745,NC_008095.1,Myxococcales;
MK279848,NZ_PKKP01000001.1,Actinomycetaceae;
MK279849,CP019892,Microbacteriaceae;
MK392366,NC_010163.1,Acholeplasmatales;
NC_028767,NC_005042.1,Prochloraceae;
NC_013650,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_023561,NZ_RQHA01000004.1,Leptospiraceae;
KX585253,NC_015276.1,Oceanospirillales;
KY204251,NZ_CP022580.1,Gordoniaceae;
KY204250,NC_012490.1,Nocardiaceae;
MH513981,CP013614,Lactobacillales;
MH513980,NZ_CP035765.1,Sphingomonadales;
MH513983,NZ_LT629758,Micromonosporaceae;
MH513982,NZ_CP046058.1,Chroococcales;
MH513985,NZ_MRCG01000001.1,Oscillatoriales;
MH513984,NZ_BEWM01000001.1,Rhodospirillales;
NC_028906,CP034433,Neisseriales;
MH727555,NZ_LR215047.1,Mycoplasmataceae;
NC_028907,NZ_LR134352.1,Nocardiaceae;
NC_018284,NZ_CP009016.1,Xanthomonadales;
NC_018285,NZ_CP046058.1,Chroococcales;
NC_018283,NC_010163.1,Acholeplasmatales;
NC_018280,NZ_CP009016.1,Xanthomonadales;
NC_018281,NZ_CP021140.1,Eggerthellales;
NC_028905,NC_013716.1,Enterobacterales;
MF141540,NC_010163.1,Acholeplasmatales;
KR053198,NZ_CP016990.1,Aeromonadales;
KR053195,NZ_CP028926.1,Pasteurellales;
KR053197,NC_005363.1,Bdellovibrionales;
NC_023727,NZ_PKRZ01000001.1,Lactobacillales;
NC_014459,NC_012490.1,Nocardiaceae;
NC_014458,NZ_JYBE02000001.1,Streptomycetaceae;
MH727554,NZ_AMGI01000001.1,Entomoplasmatales;
JF792674,NZ_CP046058.1,Chroococcales;
KJ194579,NZ_LT629758,Micromonosporaceae;
KJ944841,NC_006461.1,Thermales;
NC_019446,NZ_CP021140.1,Eggerthellales;
NC_009604,CP027029,Bacillales;
NC_008363,NZ_CP021140.1,Eggerthellales;
NC_008364,NZ_LFTY01000002,Rhodobacterales;
NC_014636,NZ_LR215047.1,Mycoplasmataceae;
NC_014635,NC_017287.1,Chlamydiaceae;
MH910038,NC_015276.1,Oceanospirillales;
MH153799,NC_005042.1,Prochloraceae;
NC_019549,NZ_CP012958.1,Pasteurellales;
MG198776,NC_008095.1,Myxococcales;
NC_026586,NC_008095.1,Myxococcales;
NC_026587,CP023315,Caulobacterales;
NC_019398,NC_011071.1,Xanthomonadales;
MG198778,NZ_RPMX01000001.1,Rhizobiales;
NC_022096,CP023315,Caulobacterales;
MK450421,NZ_CM002803,Oscillatoriales;
MK450426,NZ_UFTQ01000001,Brevibacteriaceae;
NC_024381,NZ_CP022580.1,Gordoniaceae;
NC_005045,NZ_HF571038.1,Intrasporangiaceae;
NC_027352,NC_010163.1,Acholeplasmatales;
NC_028836,NC_006461.1,Thermales;
NC_027357,NZ_PKRZ01000001.1,Lactobacillales;
NC_027354,NC_006461.1,Thermales;
NC_027988,NC_005042.1,Prochloraceae;
NC_019541,NZ_LOQW01000006.1,Corynebacteriaceae;
MK460248,NZ_MRCG01000001.1,Oscillatoriales;
NC_020855,NZ_CP046058.1,Chroococcales;
NC_020857,LR134359,Campylobacterales;
NC_022094,NC_005042.1,Prochloraceae;
NC_009552,NZ_CP032788.1,Corynebacteriaceae;
MH271317,CP003184,Thermoanaerobacterales;
MF541406,NZ_LT629739,Brevibacteriaceae;
NC_021071,NC_011071.1,Xanthomonadales;
MH834610,NZ_CP022580.1,Gordoniaceae;
KY365739,NZ_FNLM01000034,Gordoniaceae;
NC_023558,NZ_MRCG01000001.1,Oscillatoriales;
MK433260,NC_021883.1,Pasteurellales;
NC_031121,NC_021883.1,Pasteurellales;
NC_031932,NC_021883.1,Pasteurellales;
NC_023551,NC_002771.1,Mycoplasmataceae;
NC_031280,CP019892,Microbacteriaceae;
NC_012742,NZ_JMSZ01000016,Oceanospirillales;
NC_018087,NZ_CP047242.1,Nostocaceae;
NC_028657,NZ_JMSZ01000016,Oceanospirillales;
NC_028655,NC_005363.1,Bdellovibrionales;
NC_028652,NZ_LT629758,Micromonosporaceae;
MH576964,NZ_LN831027.1,Fusobacteriaceae;
MH576965,NZ_CP021140.1,Eggerthellales;
MH576968,NC_012490.1,Nocardiaceae;
NC_007461,CP003184,Thermoanaerobacterales;
NC_031056,NZ_CP021140.1,Eggerthellales;
NC_031054,NZ_CP009976.1,Flavobacteriales;
NC_031055,NZ_CADIKU010000001.1,Burkholderiales;
NC_018264,NZ_BEWM01000001.1,Rhodospirillales;
NC_015466,CP001751,SAR116
NC_021856,NZ_CP007203.1,Aphanizomenonaceae;
NC_017865,NZ_JMSZ01000016,Oceanospirillales;
NC_017864,NZ_MRCG01000001.1,Oscillatoriales;
NC_016569,NZ_CP035765.1,Sphingomonadales;
NC_027388,NZ_LN831027.1,Fusobacteriaceae;
NC_021540,NZ_LN831039.1,Mycobacteriaceae;
NC_027385,SDYW01000001,Bacteria
NC_027384,NZ_PKKP01000001.1,Actinomycetaceae;
NC_027386,NZ_JYBE02000001.1,Streptomycetaceae;
NC_027400,NZ_CP009976.1,Flavobacteriales;
NC_016563,NC_014159.1,Tsukamurellaceae;
NC_027401,NZ_PKKP01000001.1,Actinomycetaceae;
NC_025822,NZ_FODB01000122.1,Oceanospirillales;
KY092479,NZ_CP047242.1,Nostocaceae;
NC_006565,NZ_CP016990.1,Aeromonadales;
NC_013597,CP004353,Corynebacteriaceae;
NC_015721,NZ_JNIU01000001,Pelagibacterales;
NC_009643,NZ_FNSA01000003,Tsukamurellaceae;
NC_018863,NZ_CP027407.1,Rhodobacterales;
NC_018860,NZ_JMSZ01000016,Oceanospirillales;
NC_013599,NZ_PKKP01000001.1,Actinomycetaceae;
NC_001396,NZ_CP021654.1,Aeromonadales;
NC_019507,NC_005042.1,Prochloraceae;
NC_019502,NZ_JNIU01000001,Pelagibacterales;
NC_023744,NZ_CP027407.1,Rhodobacterales;
NC_010355,NZ_CP015121.1,Pseudomonadales;
NC_019509,NZ_MSEI01000003,Alteromonadales;
NC_031274,AP014565,Enterobacterales;
NC_010179,CP019892,Microbacteriaceae;
NC_023734,NVUC01000001,Rhodobacterales;
NC_016163,NZ_LN831039.1,Mycobacteriaceae;
NC_016162,LC361338,Micrococcaceae;
NC_016165,NZ_LR215047.1,Mycoplasmataceae;
NC_028976,NZ_ABJL02000008.1,Bacteroidales;
NC_028974,NC_007677.1,Order
NC_025457,NC_006085.1,Propionibacteriaceae;
NC_007734,CP023315,Caulobacterales;
NC_028879,CP001713,Chlamydiaceae;
NC_023566,NC_013929.1,Streptomycetaceae;
MF347636,NZ_PKKP01000001.1,Actinomycetaceae;
MF347637,NC_017379.1,Campylobacterales;
NC_025424,NZ_CP007203.1,Aphanizomenonaceae;
NC_031084,NZ_LR131273.1,Tsukamurellaceae;
NC_031086,QLNP01000098,Micrococcaceae;
NC_005887,NZ_CP046058.1,Chroococcales;
NC_005884,NC_014965.1,Vibrionales;
NC_023599,NC_005042.1,Prochloraceae;
NC_011613,NZ_VISK01000013.1,Rhodospirillales;
NC_021338,CP001751,SAR116
NC_011611,NZ_LR131273.1,Tsukamurellaceae;
NC_023590,NZ_OCQN01000001,Streptomycetaceae;
NC_023591,NC_015276.1,Oceanospirillales;
NC_002643,NZ_CP007810.1,Xanthomonadales;
NC_031904,NZ_RQHA01000004.1,Leptospiraceae;
NC_031905,NZ_CP015121.1,Pseudomonadales;
MF358542,NZ_CP047242.1,Nostocaceae;
NC_001418,NZ_MUTR01000001.1,Burkholderiales;
NC_019935,NZ_LR131273.1,Tsukamurellaceae;
NC_027355,NZ_CP047242.1,Nostocaceae;
NC_011810,NZ_QLMF01000001.1,Rhizobiales;
MH976516,NZ_HF571038.1,Intrasporangiaceae;
NC_022761,NZ_VISK01000013.1,Rhodospirillales;
NC_022763,NZ_ABJL02000008.1,Bacteroidales;
NC_022769,NZ_CM002803,Oscillatoriales;
KY092483,NZ_CP009976.1,Flavobacteriales;
KY092482,NZ_LN831027.1,Fusobacteriaceae;
KY092481,NC_006461.1,Thermales;
KY092480,CP003184,Thermoanaerobacterales;
NC_028755,NC_009438.1,Alteromonadales;
NC_020860,NC_002771.1,Mycoplasmataceae;
NC_020863,NZ_AP018203.1,Leptolyngbyaceae;
NC_007814,NC_017287.1,Chlamydiaceae;
NC_007810,NC_008261.1,Clostridiales;
NC_011107,CP001713,Chlamydiaceae;
NC_031016,NC_003228.3,Bacteroidales;
NC_021792,MTKC01000003,Streptomycetaceae;
NC_031015,SDYW01000001,Bacteria
NC_031012,NZ_AP014524.1,Vibrionales;
NC_021797,NZ_CM002803,Oscillatoriales;
NC_021798,NC_005042.1,Prochloraceae;
NC_021799,NZ_RQHA01000004.1,Leptospiraceae;
NC_022342,NZ_RQHA01000004.1,Leptospiraceae;
NC_022340,CP003184,Thermoanaerobacterales;
NC_022341,NZ_LT629758,Micromonosporaceae;
KR337648,NZ_FODB01000122.1,Oceanospirillales;
KR337649,NZ_LN831039.1,Mycobacteriaceae;
KT895281,QLNP01000098,Micrococcaceae;
KR337643,NC_017379.1,Campylobacterales;
KR337646,NZ_CP013197.1,Entomoplasmatales;
KR337647,NZ_JNIU01000001,Pelagibacterales;
KR337644,LC361338,Micrococcaceae;
KR337645,NC_010554.1,Enterobacterales;
KU189325,NZ_LR215047.1,Mycoplasmataceae;
NC_010325,NC_004556.1,Xanthomonadales;
MF197383,NC_015276.1,Oceanospirillales;
NC_010326,NC_002771.1,Mycoplasmataceae;
NC_028987,CP023315,Caulobacterales;
NC_015294,NZ_PKKP01000001.1,Actinomycetaceae;
NC_028982,NZ_LR131273.1,Tsukamurellaceae;
NC_028983,NC_010163.1,Acholeplasmatales;
NC_028980,NZ_CP011028.1,Alteromonadales;
NC_004306,NZ_CP047242.1,Nostocaceae;
NC_018452,NZ_CP013197.1,Entomoplasmatales;
NC_011048,NZ_CP035765.1,Sphingomonadales;
NC_007497,NZ_LN831027.1,Fusobacteriaceae;
NC_021562,NZ_LN831027.1,Fusobacteriaceae;
NC_021560,NC_006461.1,Thermales;
NC_001942,NZ_RQHA01000004.1,Leptospiraceae;
NC_024123,NZ_UFTQ01000003.1,Brevibacteriaceae;
KU530220,NZ_QKZO01000001.1,Rhodobacterales;
NC_021800,NZ_CP009764.1,Burkholderiales;
MH229864,NZ_PKKP01000001.1,Actinomycetaceae;
MH229865,CP034433,Neisseriales;
MH229862,NC_015601.1,Erysipelotrichales;
MH229863,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_021806,NZ_CM002803,Oscillatoriales;
NC_029097,NZ_JNIU01000001,Pelagibacterales;
NC_021790,CP030026,Enterobacterales;
NC_022986,NZ_CP009976.1,Flavobacteriales;
NC_024149,NZ_RQHA01000004.1,Leptospiraceae;
NC_028933,NZ_AP014524.1,Vibrionales;
NC_005354,NZ_CP007203.1,Aphanizomenonaceae;
NC_005355,NZ_LT629758,Micromonosporaceae;
MF919505,NC_008095.1,Myxococcales;
NC_027622,NZ_CP009976.1,Flavobacteriales;
NC_027623,NC_010163.1,Acholeplasmatales;
NC_027620,NZ_JMSZ01000016,Oceanospirillales;
NC_027621,CP034433,Neisseriales;
NC_027626,SDYW01000001,Bacteria
NC_027627,NZ_PKKP01000001.1,Actinomycetaceae;
NC_027624,NC_010163.1,Acholeplasmatales;
NC_027625,NZ_JNIU01000001,Pelagibacterales;
NC_021794,NC_005042.1,Prochloraceae;
NC_027628,NZ_PKRZ01000001.1,Lactobacillales;
NC_027629,NZ_UFTQ01000001,Brevibacteriaceae;
NC_024782,NZ_CP010899.1,Entomoplasmatales;
NC_024367,NC_015601.1,Erysipelotrichales;
NC_014229,HG530068,Pseudomonadales;
NC_024369,NZ_CP035288.1,Bacillales;
NC_009816,NZ_CP046058.1,Chroococcales;
MH926057,NZ_UFTQ01000001,Brevibacteriaceae;
MH926056,NC_008095.1,Myxococcales;
NC_009818,NZ_CP031781.1,Vibrionales;
MG925353,CP023315,Caulobacterales;
NC_028919,NZ_CP018296.1,Chlamydiaceae;
NC_027997,NC_006085.1,Propionibacteriaceae;
NC_029002,NZ_LR131273.1,Tsukamurellaceae;
NC_029005,NZ_JNIU01000001,Pelagibacterales;
NC_028809,NC_003228.3,Bacteroidales;
NC_027367,NZ_CP013197.1,Entomoplasmatales;
NC_027362,NZ_PKRZ01000001.1,Lactobacillales;
NC_027361,NC_017379.1,Campylobacterales;
NC_004736,NZ_LN831027.1,Fusobacteriaceae;
NC_022337,NZ_UFTQ01000001,Brevibacteriaceae;
NC_022336,NZ_CP035765.1,Sphingomonadales;
NC_022335,CP019892,Microbacteriaceae;
NC_022334,CP034433,Neisseriales;
NC_030909,CP019892,Microbacteriaceae;
NC_030908,NVUC01000001,Rhodobacterales;
NC_022338,NZ_JNIU01000001,Pelagibacterales;
MH155869,NZ_CP016990.1,Aeromonadales;
NC_031119,NZ_CP007203.1,Aphanizomenonaceae;
NC_031117,NZ_CP023558.1,Alteromonadales;
NC_031116,NZ_PKKP01000001.1,Actinomycetaceae;
NC_003793,NZ_CP007203.1,Aphanizomenonaceae;
MG920059,NZ_PKKP01000001.1,Actinomycetaceae;
NC_031938,NZ_CP035765.1,Sphingomonadales;
MK433268,NC_006461.1,Thermales;
MK433269,NZ_CP016990.1,Aeromonadales;
MF541404,NC_015601.1,Erysipelotrichales;
NC_004820,NZ_CP028926.1,Pasteurellales;
NC_031931,NZ_ATTH01000001,Order
MH047633,NC_008530.1,Lactobacillales;
MH047632,NZ_CP035765.1,Sphingomonadales;
NC_012757,NZ_CP021140.1,Eggerthellales;
NC_022751,NZ_CP016990.1,Aeromonadales;
NC_021793,NZ_UFTQ01000003.1,Brevibacteriaceae;
NC_028663,NC_005363.1,Bdellovibrionales;
NC_013692,JTHH01000008,Bacillales;
NC_028667,NC_015601.1,Erysipelotrichales;
NC_028702,NC_007677.1,Order
MK433278,NZ_LN831039.1,Mycobacteriaceae;
NC_021529,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_013691,NC_006461.1,Thermales;
NC_015157,NC_006461.1,Thermales;
NC_020835,NC_012490.1,Nocardiaceae;
NC_015159,NC_010163.1,Acholeplasmatales;
NC_015158,CP034433,Neisseriales;
NC_031945,NC_004556.1,Xanthomonadales;
NC_031065,NZ_PKKP01000001.1,Actinomycetaceae;
NC_031063,CP004353,Corynebacteriaceae;
NC_017974,NZ_LR215047.1,Mycoplasmataceae;
NC_017976,NZ_HF571038.1,Intrasporangiaceae;
NC_017971,NC_003228.3,Bacteroidales;
MH590589,CP034433,Neisseriales;
NC_004735,NZ_LR131273.1,Tsukamurellaceae;
NC_017972,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_004827,NZ_CP008880.1,Flavobacteriales;
NC_027397,NC_021883.1,Pasteurellales;
NC_027393,NZ_RQHA01000004.1,Leptospiraceae;
NC_004821,NZ_MRCG01000001.1,Oscillatoriales;
NC_027391,NC_013961.1,Enterobacterales;
MG198777,NC_021883.1,Pasteurellales;
MH178381,NC_017287.1,Chlamydiaceae;
NC_005258,HG530068,Pseudomonadales;
MH178382,NZ_LR215047.1,Mycoplasmataceae;
NC_015290,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_018857,NZ_LS483405.1,Lactobacillales;
NC_018856,NC_017287.1,Chlamydiaceae;
NC_018853,NZ_LT629739,Brevibacteriaceae;
NC_018852,HG530068,Pseudomonadales;
NC_018851,CP019892,Microbacteriaceae;
NC_009447,CP003184,Thermoanaerobacterales;
NC_025431,NC_006461.1,Thermales;
MG518520,NC_002771.1,Mycoplasmataceae;
NC_007024,NZ_VISK01000013.1,Rhodospirillales;
NC_018454,NZ_PKRZ01000001.1,Lactobacillales;
NC_031245,CP001751,SAR116
NC_028848,NC_005363.1,Bdellovibrionales;
NC_017984,NC_012490.1,Nocardiaceae;
NC_029046,NZ_CP007203.1,Aphanizomenonaceae;
NC_002484,NZ_CP028926.1,Pasteurellales;
NC_024137,NZ_JYBE02000001.1,Streptomycetaceae;
MF919533,CP003184,Thermoanaerobacterales;
NC_020083,NZ_CP035765.1,Sphingomonadales;
NC_028967,NZ_CP013187.1,Alteromonadales;
NC_028684,NZ_LN831039.1,Mycobacteriaceae;
NC_023576,NZ_CP018296.1,Chlamydiaceae;
NC_023570,CP003184,Thermoanaerobacterales;
NC_019402,NZ_CP008781.1,Burkholderiales;
NC_019400,NZ_CP015121.1,Pseudomonadales;
NC_031098,CP003184,Thermoanaerobacterales;
NC_031096,NZ_CP023560,Bacillales;
NC_031091,NZ_FNSA01000003,Tsukamurellaceae;
NC_022974,NZ_CP028926.1,Pasteurellales;
NC_022971,NZ_CP035765.1,Sphingomonadales;
NC_022970,NZ_HF571038.1,Intrasporangiaceae;
MK305888,NC_015601.1,Erysipelotrichales;
NC_016659,NZ_CP035765.1,Sphingomonadales;
NC_019927,NZ_AP018203.1,Leptolyngbyaceae;
NC_016657,NZ_CP013187.1,Alteromonadales;
NC_029032,NZ_LN831027.1,Fusobacteriaceae;
NC_004996,NZ_LR134475.1,Enterobacterales;
NC_001628,NC_010163.1,Acholeplasmatales;
NC_003313,NZ_AMGI01000001.1,Entomoplasmatales;
NC_008717,NC_012490.1,Nocardiaceae;
NC_007808,NC_008095.1,Myxococcales;
NC_007809,NZ_FNSA01000003,Tsukamurellaceae;
NC_020878,NZ_FODB01000122.1,Oceanospirillales;
NC_019525,NZ_RPMX01000001.1,Rhizobiales;
NC_020874,NZ_RQHA01000004.1,Leptospiraceae;
NC_028748,CP003184,Thermoanaerobacterales;
NC_007805,CP001713,Chlamydiaceae;
NC_007806,NZ_MRCG01000001.1,Oscillatoriales;
NC_007807,NZ_CP047242.1,Nostocaceae;
NC_031027,CP030026,Enterobacterales;
NC_031024,CP023315,Caulobacterales;
NC_029024,CP001713,Chlamydiaceae;
NC_030940,NC_012490.1,Nocardiaceae;
NC_030947,NC_006085.1,Propionibacteriaceae;
NC_004462,NZ_CP046058.1,Chroococcales;
NC_022091,NZ_QGLK01000001.1,Bifidobacteriaceae;
NC_009543,NZ_CP027407.1,Rhodobacterales;
NC_009542,NZ_LT629758,Micromonosporaceae;
NC_009541,NZ_JH719383.1,Rhizobiales;
NC_011523,NZ_CP035765.1,Sphingomonadales;
KR337654,NZ_CP023560,Bacillales;
KR337651,NZ_LN831039.1,Mycobacteriaceae;
KR337650,NZ_AMGI01000001.1,Entomoplasmatales;
KR337653,NC_015276.1,Oceanospirillales;
KR337652,NZ_CP027407.1,Rhodobacterales;
NC_027118,NZ_JMSZ01000016,Oceanospirillales;
NC_027292,NZ_JNIU01000001,Pelagibacterales;
NC_004902,NC_005363.1,Bdellovibrionales;
NC_027296,NC_010163.1,Acholeplasmatales;
NC_027295,NZ_NKWY01000001.1,Aeromonadales;
NC_027294,QLNP01000098,Micrococcaceae;
NC_019813,NZ_RPMX01000001.1,Rhizobiales;
NC_015453,NC_015276.1,Oceanospirillales;
NC_015454,NZ_LT629758,Micromonosporaceae;
NC_027373,NC_017379.1,Campylobacterales;
NC_001956,NZ_CP008880.1,Flavobacteriales;
NC_006945,NC_015601.1,Erysipelotrichales;
